beer_backend_api  | INFO:     Will watch for changes in these directories: ['/app']
beer_backend_api  | INFO:     172.18.0.1:40026 - "POST /api/beverages/ HTTP/1.1" 201 Created
beer_backend_api  | 2026-02-28 12:34:15,819 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: POST_/api/beverages/
beer_backend_api  | INFO:     172.18.0.1:40026 - "POST /api/kegs/ HTTP/1.1" 201 Created
beer_backend_api  | 2026-02-28 12:34:15,866 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: POST_/api/kegs/
beer_backend_api  | INFO:     172.18.0.1:40026 - "POST /api/taps/ HTTP/1.1" 201 Created
beer_backend_api  | 2026-02-28 12:34:15,904 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: POST_/api/taps/
beer_backend_api  | INFO:     172.18.0.1:40026 - "PUT /api/taps/2/keg HTTP/1.1" 200 OK
beer_backend_api  | 2026-02-28 12:34:15,950 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: PUT_/api/taps/2/keg
beer_backend_api  | INFO:     172.18.0.1:40026 - "GET /api/guests/2ab42e09-896b-47a3-a1cd-a549b5ac5def HTTP/1.1" 200 OK
beer_backend_api  | 2026-02-28 12:34:16,039 - INFO - m4.runtime.authorize - authorize_pour request_id=incident-free-pour-auth-94306 db_identity=postgres:5432/beer_tap_db alembic_revision=0010_m5_db_time_source actor=internal_rpi card_uid=INCIDENT-ZERO-BALANCE-CARD-94306 tap_id=2 visit_id=a330ef27-cba4-4134-a4d6-9c19cab24522 outcome=pending_created
beer_backend_api  | INFO:     172.18.0.1:40026 - "POST /api/visits/authorize-pour HTTP/1.1" 200 OK
beer_backend_api  | INFO:     172.18.0.1:40026 - "GET /api/pours/ HTTP/1.1" 200 OK
beer_backend_api  | 2026-02-28 12:34:16,125 - INFO - m4.runtime.sync - sync_pours_start request_id=incident-free-pour-sync-94306 db_identity=postgres:5432/beer_tap_db alembic_revision=0010_m5_db_time_source batch_size=1
beer_backend_api  | 2026-02-28 12:34:16,135 - INFO - m4.runtime.sync - sync_pours_result request_id=incident-free-pour-sync-94306 client_tx_id=incident-zero-balance-sync-94306 status=rejected outcome=rejected_insufficient_funds reason=Insufficient funds for Guest 2ab42e09-896b-47a3-a1cd-a549b5ac5def.
beer_backend_api  | 2026-02-28 12:34:16,135 - INFO - m4.runtime.sync - sync_pours_done request_id=incident-free-pour-sync-94306 db_identity=postgres:5432/beer_tap_db alembic_revision=0010_m5_db_time_source processed=1
beer_backend_api  | INFO:     172.18.0.1:40026 - "POST /api/sync/pours HTTP/1.1" 200 OK
beer_backend_api  | INFO:     172.18.0.1:40026 - "GET /api/pours/ HTTP/1.1" 200 OK
beer_backend_api  | INFO:     172.18.0.1:40026 - "GET /api/visits/active/by-card/INCIDENT-ZERO-BALANCE-CARD-94306 HTTP/1.1" 200 OK
beer_backend_api  | WARNING:  WatchFiles detected changes in 'crud/visit_crud.py'. Reloading...
beer_backend_api  | INFO:     Shutting down
beer_backend_api  | INFO:     Waiting for application shutdown.
beer_backend_api  | 2026-02-28 12:37:09,972 - INFO - root - Application shutdown.
beer_backend_api  | INFO:     Application shutdown complete.
beer_backend_api  | INFO:     Finished server process [8]
beer_backend_api  | INFO:     Started server process [23]
beer_backend_api  | INFO:     Waiting for application startup.
beer_backend_api  | 2026-02-28 12:37:12,227 - INFO - root - Application startup complete.
beer_backend_api  | INFO:     Application startup complete.
beer_backend_api  | WARNING:  WatchFiles detected changes in 'api/visits.py'. Reloading...
beer_backend_api  | INFO:     Shutting down
beer_backend_api  | INFO:     Waiting for application shutdown.
beer_backend_api  | 2026-02-28 12:37:14,534 - INFO - root - Application shutdown.
beer_backend_api  | INFO:     Application shutdown complete.
beer_backend_api  | INFO:     Finished server process [23]
beer_backend_api  | INFO:     Started server process [24]
beer_backend_api  | INFO:     Waiting for application startup.
beer_backend_api  | 2026-02-28 12:37:16,171 - INFO - root - Application startup complete.
beer_backend_api  | INFO:     Application startup complete.
beer_backend_api  | WARNING:  WatchFiles detected changes in 'crud/pour_crud.py'. Reloading...
beer_backend_api  | INFO:     Shutting down
beer_backend_api  | INFO:     Waiting for application shutdown.
beer_backend_api  | 2026-02-28 12:37:36,769 - INFO - root - Application shutdown.
beer_backend_api  | INFO:     Application shutdown complete.
beer_backend_api  | INFO:     Finished server process [24]
beer_backend_api  | INFO:     Started server process [25]
beer_backend_api  | INFO:     Waiting for application startup.
beer_backend_api  | 2026-02-28 12:37:38,454 - INFO - root - Application startup complete.
beer_backend_api  | INFO:     Application startup complete.
beer_backend_api  | WARNING:  WatchFiles detected changes in 'tests/test_incident_free_pour_zero_balance.py'. Reloading...
beer_backend_api  | INFO:     Shutting down
beer_backend_api  | INFO:     Waiting for application shutdown.
beer_backend_api  | 2026-02-28 12:39:09,737 - INFO - root - Application shutdown.
beer_backend_api  | INFO:     Application shutdown complete.
beer_backend_api  | INFO:     Finished server process [25]
beer_backend_api  | INFO:     Started server process [26]
beer_backend_api  | INFO:     Waiting for application startup.
beer_backend_api  | 2026-02-28 12:39:11,998 - INFO - root - Application startup complete.
beer_backend_api  | INFO:     Application startup complete.
beer_backend_api  | WARNING:  WatchFiles detected changes in 'tests/test_incident_free_pour_zero_balance.py'. Reloading...
beer_backend_api  | INFO:     Shutting down
beer_backend_api  | INFO:     Waiting for application shutdown.
beer_backend_api  | 2026-02-28 12:39:22,324 - INFO - root - Application shutdown.
beer_backend_api  | INFO:     Application shutdown complete.
beer_backend_api  | INFO:     Finished server process [26]
beer_backend_api  | INFO:     Started server process [27]
beer_backend_api  | INFO:     Waiting for application startup.
beer_backend_api  | 2026-02-28 12:39:24,089 - INFO - root - Application startup complete.
beer_backend_api  | INFO:     Application startup complete.
beer_backend_api  | WARNING:  WatchFiles detected changes in 'tests/test_incident_free_pour_zero_balance.py'. Reloading...
beer_backend_api  | INFO:     Shutting down
beer_backend_api  | INFO:     Waiting for application shutdown.
beer_backend_api  | 2026-02-28 12:39:36,453 - INFO - root - Application shutdown.
beer_backend_api  | INFO:     Application shutdown complete.
beer_backend_api  | INFO:     Finished server process [27]
beer_backend_api  | INFO:     Started server process [28]
beer_backend_api  | INFO:     Waiting for application startup.
beer_backend_api  | 2026-02-28 12:39:38,100 - INFO - root - Application startup complete.
beer_backend_api  | INFO:     Application startup complete.
beer_backend_api  | INFO:     172.18.0.1:42086 - "POST /api/token HTTP/1.1" 200 OK
beer_backend_api  | INFO:     172.18.0.1:42086 - "POST /api/guests/ HTTP/1.1" 201 Created
beer_backend_api  | 2026-02-28 12:41:24,421 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: POST_/api/guests/
beer_backend_api  | INFO:     172.18.0.1:42086 - "POST /api/guests/fa77c399-9095-442c-a8dd-81b2f7cf7166/cards HTTP/1.1" 200 OK
beer_backend_api  | 2026-02-28 12:41:24,491 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: POST_/api/guests/fa77c399-9095-442c-a8dd-81b2f7cf7166/cards
beer_backend_api  | INFO:     172.18.0.1:42086 - "POST /api/visits/open HTTP/1.1" 200 OK
beer_backend_api  | 2026-02-28 12:41:24,569 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: POST_/api/visits/open
beer_backend_api  | INFO:     172.18.0.1:42086 - "POST /api/beverages/ HTTP/1.1" 201 Created
beer_backend_api  | 2026-02-28 12:41:24,634 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: POST_/api/beverages/
beer_backend_api  | INFO:     172.18.0.1:42086 - "POST /api/kegs/ HTTP/1.1" 201 Created
beer_backend_api  | 2026-02-28 12:41:24,696 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: POST_/api/kegs/
beer_backend_api  | INFO:     172.18.0.1:42086 - "POST /api/taps/ HTTP/1.1" 201 Created
beer_backend_api  | 2026-02-28 12:41:24,751 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: POST_/api/taps/
beer_backend_api  | INFO:     172.18.0.1:42086 - "PUT /api/taps/3/keg HTTP/1.1" 200 OK
beer_backend_api  | 2026-02-28 12:41:24,858 - INFO - crud.audit_crud - Фоновая запись в лог аудита успешно завершена для действия: PUT_/api/taps/3/keg
beer_backend_api  | 2026-02-28 12:41:24,920 - WARNING - m4.runtime.authorize - authorize_pour request_id=incident-free-pour-postfix-50684 db_identity=postgres:5432/beer_tap_db alembic_revision=0010_m5_db_time_source actor=internal_rpi card_uid=FIXED-ZERO-BALANCE-CARD-50684 tap_id=3 outcome=rejected_insufficient_funds status_code=403 detail={'reason': 'insufficient_funds', 'message': 'Insufficient funds: top up guest balance before pouring.'}
beer_backend_api  | INFO:     172.18.0.1:42086 - "POST /api/visits/authorize-pour HTTP/1.1" 403 Forbidden
beer_backend_api  | INFO:     172.18.0.1:42086 - "GET /api/pours/ HTTP/1.1" 200 OK
